rank,pais,valor
1,LESOTHO,63.2
2,SOUTH AFRICA,62.5
3,CENTRAL AFRICAN REPUBLIC,61.3
4,"MICRONESIA, FEDERATED STATES OF",61.1
5,HAITI,60.8
6,BOTSWANA,60.5
7,NAMIBIA,59.7
8,HONDURAS,57.7
9,ZAMBIA,57.5
10,HONG KONG,53.7
11,COLOMBIA,53.5
12,PARAGUAY,53.2
13,GUATEMALA,53
14,CHILE,52.1
15,PANAMA,51.9
16,BRAZIL,51.9
17,PAPUA NEW GUINEA,50.9
18,SWAZILAND,50.4
19,COSTA RICA,50.3
20,"GAMBIA, THE",50.2
21,ZIMBABWE,50.1
22,SRI LANKA,49
23,ECUADOR,48.5
24,THAILAND,48.4
25,MEXICO,48.3
26,MADAGASCAR,47.5
27,DOMINICAN REPUBLIC,47.1
28,CHINA,46.9
29,EL SALVADOR,46.9
30,RWANDA,46.8
31,BOLIVIA,46.6
32,SINGAPORE,46.4
33,MALAYSIA,46.2
34,PHILIPPINES,46
35,GEORGIA,46
36,SOUTH SUDAN,46
37,SAUDI ARABIA,45.9
38,ARGENTINA,45.8
39,MOZAMBIQUE,45.6
40,JAMAICA,45.5
41,URUGUAY,45.3
42,PERU,45.3
43,UNITED STATES,45
44,CAMEROON,44.6
45,GUYANA,44.6
46,IRAN,44.5
47,NIGERIA,43.7
48,MACEDONIA,43.6
49,CHAD,43.3
50,ISRAEL,42.8
51,KENYA,42.5
52,BURUNDI,42.4
53,GHANA,42.3
54,RUSSIA,42
55,COTE D'IVOIRE,41.5
56,DJIBOUTI,40.9
57,MOROCCO,40.9
58,TURKMENISTAN,40.8
59,NICARAGUA,40.5
60,SENEGAL,40.3
61,TURKEY,40.2
62,MALI,40.1
63,TUNISIA,40
64,JORDAN,39.7
65,BURKINA FASO,39.5
66,UGANDA,39.5
67,GUINEA,39.4
68,VENEZUELA,39
69,MALAWI,39
70,MAURITANIA,39
71,SERBIA,38.7
72,BHUTAN,38.7
73,CAMBODIA,37.9
74,JAPAN,37.9
75,YEMEN,37.9
76,TANZANIA,37.6
77,VIETNAM,37.6
78,MALDIVES,37.4
79,INDONESIA,36.8
80,UZBEKISTAN,36.8
81,GREECE,36.7
82,LAOS,36.7
83,MONGOLIA,36.5
84,BENIN,36.5
85,NEW ZEALAND,36.2
86,BOSNIA AND HERZEGOVINA,36.2
87,SPAIN,35.9
88,MAURITIUS,35.9
89,ESTONIA,35.6
90,LITHUANIA,35.5
91,BULGARIA,35.4
92,ALGERIA,35.3
93,LATVIA,35.2
94,MACAU,35
95,CYPRUS,34.8
96,WEST BANK,34.5
97,PORTUGAL,34.2
98,NIGER,34
99,SIERRA LEONE,34
100,AZERBAIJAN,33.7
101,INDIA,33.6
102,TAIWAN,33.6
103,KYRGYZSTAN,33.4
104,ETHIOPIA,33
105,NEPAL,32.8
106,TAJIKISTAN,32.6
107,UNITED KINGDOM,32.4
108,POLAND,32.4
109,CANADA,32.1
110,BANGLADESH,32.1
111,CROATIA,32
112,ITALY,31.9
113,TIMOR-LESTE,31.9
114,IRELAND,31.3
115,EUROPEAN UNION,30.9
116,EGYPT,30.8
117,HUNGARY,30.6
118,LUXEMBOURG,30.4
119,ARMENIA,30.3
120,AUSTRALIA,30.3
121,"KOREA, SOUTH",30.2
122,FRANCE,30.1
123,KOSOVO,30
124,PAKISTAN,29.6
125,AUSTRIA,29.2
126,ALBANIA,29
127,KAZAKHSTAN,28.9
128,SWITZERLAND,28.7
129,MOLDOVA,28.5
130,ICELAND,28
131,MALTA,27.7
132,ROMANIA,27.3
133,GERMANY,27
134,NORWAY,26.8
135,FINLAND,26.8
136,BELARUS,26.5
137,MONTENEGRO,26.2
138,SLOVAKIA,26
139,BELGIUM,25.9
140,NETHERLANDS,25.1
141,CZECHIA,24.9
142,SWEDEN,24.9
143,DENMARK,24.8
144,UKRAINE,24.6
145,SLOVENIA,23.7
