valor,rank,idh_mulheres,idh_homens,expectativa_vida_mulheres,expectativa_vida_homens,anos_estudo_mulheres,anos_estudos_homens,per_capta_feminino,per_capta_masculino
0.067,9,0.940,0.944,83.6,79.5,12.7,12.5,"57,140","72,825"
0.110,19,0.922,0.945,84.5,80.3,13.1,12.9,"33,688","50,914"
0.028,2,0.898,0.945,85.0,80.8,11.5,13.1,"44,132","69,077"
0.048,4,0.912,0.934,82.2,78.3,12.8,12.7,"36,439","51,727"
0.062,7,0.893,0.943,83.3,79.7,11.6,12.2,"29,500","61,641"
0.041,3,0.901,0.936,83.3,78.5,12.9,13.8,"34,886","53,290"
0.113,21,0.901,0.926,83.0,78.8,12.3,12.0,"30,104","49,166"
0.280,55,0.911,0.916,81.4,76.7,13.0,12.9,"43,054","63,158"
0.129,25,0.904,0.921,84.0,80.0,13.1,13.0,"33,587","50,853"
0.157,32,0.894,0.930,83.6,80.0,12.5,12.6,"24,309","41,372"
0.088,13,0.898,0.912,86.0,79.9,10.1,10.9,"59,994","93,699"
..,..,0.892,0.931,86.8,81.2,10.9,11.9,"38,060","72,052"
..,..,..,..,..,..,..,..,..,..
0.055,6,0.906,0.906,83.9,80.4,12.2,12.0,"40,222","51,084"
0.177,39,0.888,0.920,82.6,78.7,12.9,13.2,"27,259","51,628"
0.087,12,0.886,0.909,84.0,81.0,10.8,10.4,"28,792","41,486"
0.125,23,0.861,0.926,85.0,78.5,11.2,12.7,"21,896","46,018"
0.101,18,0.879,0.905,84.1,80.5,12.5,12.6,"22,451","39,064"
0.100,17,0.877,0.903,83.9,79.3,11.3,12.1,"47,723","69,800"
0.133,26,0.870,0.905,86.7,80.2,11.3,11.7,"24,975","49,541"
0.063,8,0.872,0.895,83.2,78.3,10.6,11.1,"31,879","50,845"
0.088,13,0.881,0.893,85.1,79.2,11.0,11.3,"31,073","45,497"
0.053,5,0.856,0.909,83.8,78.8,9.9,11.9,"29,598","58,826"
0.075,11,0.879,0.882,83.6,78.0,10.2,10.2,"31,644","45,994"
0.016,1,0.877,0.881,83.4,77.3,11.8,12.0,"22,180","33,593"
0.095,16,0.863,0.885,85.3,79.8,9.4,9.8,"24,059","40,221"
0.068,10,0.851,0.883,85.5,80.6,9.5,10.2,"22,526","44,148"
0.091,15,0.859,0.877,81.5,75.7,12.1,12.5,"19,929","33,604"
0.146,29,0.844,0.879,83.8,78.0,9.8,10.5,"17,288","31,952"
0.164,33,0.872,0.847,81.3,72.0,12.7,12.2,"20,854","30,254"
..,..,0.840,0.860,80.7,77.0,8.5,9.0,"54,228","90,437"
0.124,22,0.836,0.861,82.4,78.0,11.4,11.8,"22,613","34,400"
0.524,116,0.853,0.854,79.9,77.3,10.4,8.8,"55,123","143,979"
..,..,..,..,..,..,..,..,..,..
0.164,33,0.841,0.842,79.9,72.5,12.3,12.2,"19,903","32,122"
0.138,28,0.844,0.839,81.4,73.4,11.7,11.9,"18,423","28,271"
0.125,23,0.851,0.827,78.9,67.7,12.3,12.5,"20,955","28,656"
0.227,46,0.806,0.861,82.2,78.8,9.9,10.8,"16,435","39,432"
0.284,56,0.778,0.864,75.7,73.0,7.8,9.3,"20,094","77,044"
0.376,75,0.819,0.834,80.1,72.4,9.8,9.8,"14,202","30,237"
0.232,47,0.796,0.835,78.5,76.3,9.9,8.5,"22,391","77,300"
0.338,65,0.815,0.843,84.5,78.6,9.7,9.9,"14,732","27,992"
0.111,20,0.823,0.836,83.8,77.9,8.1,8.4,"21,259","30,543"
0.209,42,0.818,0.838,78.7,71.5,11.3,12.2,"17,443","28,960"
0.265,51,0.789,0.839,77.6,75.8,9.1,9.6,"20,038","49,890"
0.167,36,0.829,0.805,78.9,69.1,11.7,11.2,"18,437","26,845"
0.149,30,0.812,0.823,80.6,74.0,10.5,11.6,"16,200","22,853"
0.387,79,0.793,0.816,75.8,73.5,7.3,7.1,"42,292","111,988"
0.171,37,0.782,0.819,78.4,74.1,10.5,11.8,"11,106","18,094"
,,,,,,,,,
0.151,31,0.806,0.789,77.2,65.5,11.9,12.1,"12,922","21,010"
0.276,54,0.804,0.789,75.8,64.4,11.9,12.0,"17,269","28,287"
0.275,53,0.741,0.815,79.2,75.1,7.0,8.5,"14,709","46,400"
0.333,64,0.787,0.796,78.3,71.2,10.3,11.1,"15,250","21,117"
0.313,61,0.797,0.783,80.6,73.5,8.7,8.2,"14,721","24,166"
0.298,58,..,..,78.3,72.3,11.1,10.7,"17,868","24,957"
0.267,52,0.787,0.785,74.1,64.6,11.3,11.5,"15,408","26,746"
0.357,69,0.791,0.777,78.0,73.2,10.6,10.2,"10,245","14,739"
..,..,..,..,78.5,73.5,..,..,..,..
