rank,pais,valor,expectativa_vida,epectativa_estudo,media_estudo,renda_per_capta,diferenca_gni_e_hdi,habitantes,pib
1,Norway,0.944,81.6,42.507,42.533,65,5,42.374,317.5
2,Australia,0.935,82.4,42.42,13,42,17,42.544,990.7
3,Switzerland,0.93,83,42.597,42.594,56,6,42.408,442
4,Denmark,0.923,80.2,42.569,42.563,44,11,42.526,235.7
5,Netherlands,0.922,81.6,42.63,42.624,45,9,42.598,755.3
6,Germany,0.916,80.9,42.506,42.382,44,11,82.7,3483.4
6,Ireland,0.916,80.9,42.539,42.412,40,16,42.555,206.5
8,United States,0.915,79.1,42.506,42.625,53,3,322.6,16230.2
9,Canada,0.913,82,42.628,13,42,11,35.5,1472.9
9,New Zealand,0.913,81.8,42.419,42.502,33,23,42.525,146.7
11,Singapore,0.912,83,42.475,42.531,77,-7,42.495,411.6
12,"Hong Kong, China (SAR)",0.91,84,42.536,42.411,54,-2,42.436,370.2
13,Liechtenstein,0.908,80,15,42.593,80,-10,0,
14,Sweden,0.907,82.2,42.597,42.381,46,-1,42.53,419.6
14,United Kingdom,0.907,80.7,42.416,42.382,39,9,63.5,2372.7
16,Iceland,0.899,82.6,19,42.531,35,12,0.3,42.442
17,Korea (Republic of),0.898,81.9,42.629,42.624,34,13,49.5,1642.6
18,Israel,0.894,82.4,16,42.502,31,16,42.589,249.3
19,Luxembourg,0.892,81.7,42.626,42.562,59,-11,0.5,47.7
20,Japan,0.891,83.5,42.444,42.501,37,7,127,4535.1
21,Belgium,0.89,80.8,42.445,42.44,41,0,42.38,454.6
22,France,0.888,82.2,16,42.38,38,4,64.6,2453.3
23,Austria,0.885,81.4,42.566,42.592,44,-5,42.498,376
24,Finland,0.883,80.8,42.386,42.439,39,0,42.465,211.3
25,Slovenia,0.88,80.4,42.598,42.624,28,12,42.371,56.8
26,Spain,0.876,82.6,42.446,42.53,32,7,47.1,1473.9
27,Italy,0.873,83.1,16,42.379,33,4,61.1,2044.3
28,Czech Republic,0.87,78.6,42.476,42.441,27,10,42.561,294.2
29,Greece,0.865,80.9,42.538,42.439,25,14,42.38,270.7
30,Estonia,0.861,76.8,42.506,42.502,25,12,42.43,33.3
31,Brunei Darussalam,0.856,78.8,42.504,42.59,73,-26,0.4,29
32,Cyprus,0.85,80.2,14,42.532,29,3,42.401,42.605
32,Qatar,0.85,78.2,42.595,42.378,123,-31,42.431,276.6
34,Andorra,0.845,81.3,42.503,42.53,44,-18,0.1,
35,Slovakia,0.844,76.3,42.384,42.412,26,5,42.495,142.2
36,Poland,0.843,77.4,42.505,42.593,23,10,38.2,881.5
37,Lithuania,0.839,73.3,42.476,42.472,25,7,3,72.4
37,Malta,0.839,80.6,42.474,42.439,28,-1,0.4,42.412
39,Saudi Arabia,0.837,74.3,42.445,42.559,53,-27,42.489,1501.1
40,Argentina,0.836,76.3,42.63,42.591,22,11,41.8,
41,United Arab Emirates,0.835,77,42.442,42.499,61,-34,42.469,525.1
42,Chile,0.832,81.7,42.415,42.591,21,11,42.599,382.6
43,Portugal,0.83,80.9,42.445,42.408,26,-2,42.531,267.7
44,Hungary,0.828,75.2,42.475,42.532,23,3,42.622,226.8
45,Bahrain,0.824,76.6,42.474,42.469,39,-20,42.43,56.5
46,Latvia,0.819,74.2,42.415,42.501,22,4,2,43.9
47,Croatia,0.818,77.3,42.596,11,19,11,42.433,85.3
48,Kuwait,0.816,74.4,42.565,42.407,84,-46,42.493,267.7
49,Montenegro,0.802,76.2,42.415,42.411,15,27,0.6,42.59
50,Belarus,0.798,71.3,42.566,12,17,14,42.438,161.4
50,Russian Federation,0.798,70.1,42.565,12,22,-1,142.5,3381.5
52,Oman,0.793,76.8,42.534,8,35,-23,42.616,147.6
52,Romania,0.793,74.7,42.414,42.592,18,10,42.542,363.3
52,Uruguay,0.793,77.2,42.505,42.498,19,7,42.463,64.6
55,Bahamas,0.79,75.4,42.533,42.623,21,-3,0.4,42.498
56,Kazakhstan,0.788,69.4,15,42.471,21,-1,42.537,382.8
57,Barbados,0.785,75.6,42.475,42.5,12,27,0.3,42.433
58,Antigua and Barbuda,0.783,76.1,14,42.409,20,-1,0.1,42.583
59,Bulgaria,0.782,74.2,42.474,42.531,16,13,42.407,114
60,Palau,0.78,72.7,42.564,42.441,13,18,0,0.3
60,Panama,0.78,77.6,42.442,42.438,18,1,42.616,72.6
62,Malaysia,0.779,74.7,42.563,10,23,-14,30.2,671.3
63,Mauritius,0.777,74.4,42.536,42.498,17,0,42.401,42.542
64,Seychelles,0.772,73.1,42.473,42.469,23,-19,0.1,42.371
64,Trinidad and Tobago,0.772,70.4,42.441,42.623,26,-25,42.43,39.5
66,Serbia,0.771,74.9,42.474,42.5,12,20,42.499,92.4
67,Cuba,0.769,79.4,42.595,42.501,7,47,42.44,211.9
67,Lebanon,0.769,79.3,42.595,42.62,17,-1,5,74.3
69,Costa Rica,0.766,79.4,42.626,42.468,13,10,42.617,65.4
69,Iran (Islamic Republic of),0.766,75.4,42.384,42.408,15,4,78.5,1168.7
71,Venezuela (Bolivarian Republic of),0.762,74.2,42.414,42.621,16,-2,42.643,535.6
72,Turkey,0.761,75.3,42.504,42.528,19,-12,75.8,1398.3
73,Sri Lanka,0.757,74.9,42.564,42.592,10,29,42.481,193.1
74,Mexico,0.756,76.8,42.382,42.498,16,-4,123.8,1992.9
75,Brazil,0.755,74.5,42.415,42.558,15,-1,202,2916.3
76,Georgia,0.754,74.9,42.595,42.381,7,40,42.433,42.4
77,Saint Kitts and Nevis,0.752,73.8,42.625,42.468,21,-21,0.1,42.37
78,Azerbaijan,0.751,70.8,42.624,42.411,16,-11,42.499,156.3
79,Grenada,0.75,73.4,42.597,42.529,11,14,0.1,42.401
80,Jordan,0.748,74,42.503,42.622,11,11,42.497,73.7
81,The former Yugoslav Republic of Macedonia,0.747,75.4,42.473,42.438,12,9,42.371,42.514
81,Ukraine,0.747,71,42.384,42.44,8,25,44.9,387
83,Algeria,0.736,74.8,14,42.528,13,-1,39.9,505.5
84,Peru,0.734,74.6,42.382,9,11,8,42.612,346.2
85,Albania,0.733,77.8,42.593,42.438,10,14,42.403,42.641
85,Armenia,0.733,74.7,42.441,42.623,8,22,3,42.482
85,Bosnia and Herzegovina,0.733,76.5,42.534,42.437,10,19,42.585,35.9
88,Ecuador,0.732,75.9,42.414,42.528,11,7,16,165.9
89,Saint Lucia,0.729,75.1,42.533,42.438,10,14,0.2,42.614
90,China,0.727,75.8,42.382,42.497,13,-7,1393.8,15643.2
90,Fiji,0.727,70,42.566,42.622,7,21,0.9,42.527
90,Mongolia,0.727,69.4,42.535,42.438,11,4,42.615,42.638
93,Thailand,0.726,74.4,42.503,42.436,13,-13,67.2,933.6
94,Dominica,0.724,77.8,42.563,42.62,10,4,0.1,0.7
94,Libya,0.724,71.6,14,42.436,15,-19,42.435,126.3
96,Tunisia,0.721,74.8,42.535,42.588,10,1,42.38,117.2
97,Colombia,0.72,74,42.503,42.436,12,-9,48.9,581.1
97,Saint Vincent and the Grenadines,0.72,72.9,42.473,42.529,10,3,0.1,42.37
99,Jamaica,0.719,75.7,42.472,42.56,7,13,42.584,42.483
100,Tonga,0.717,72.8,42.565,42.561,5,32,0.1,0.5
101,Belize,0.715,70,42.534,42.5,8,9,0.3,42.553
101,Dominican Republic,0.715,73.5,42.382,42.528,12,-12,42.5,122.7
103,Suriname,0.714,71.1,42.563,42.558,16,-32,0.5,42.468
104,Maldives,0.706,76.8,13,42.587,12,-19,0.4,42.616
105,Samoa,0.702,73.4,42.625,42.439,5,24,0.2,42.37
106,Botswana,0.698,64.5,42.502,42.621,17,-41,2,42.612
107,Moldova (Republic of),0.693,71.6,42.624,42.411,5,23,42.493,42.385
108,Egypt,0.69,71.1,42.503,42.527,11,-12,83.4,880.8
109,Turkmenistan,0.688,65.6,42.592,42.622,13,-28,42.434,71
110,Gabon,0.684,64.4,42.502,42.589,16,-42,42.552,31.2
110,Indonesia,0.684,68.9,13,42.528,10,-9,252.8,2312.4
112,Paraguay,0.679,72.9,42.624,42.558,8,-3,42.619,53.3
113,"Palestine, State of",0.677,72.9,13,42.621,5,21,42.464,42.569
114,Uzbekistan,0.675,68.4,42.501,42.623,6,10,42.458,151.3
115,Philippines,0.668,68.2,42.44,42.621,8,-7,100.1,622.5
116,El Salvador,0.666,73,42.441,42.496,7,-3,42.466,47.6
116,South Africa,0.666,57.4,42.534,42.622,12,-29,53.1,641.4
116,Viet Nam,0.666,75.8,42.624,42.497,5,15,92.5,459.7
119,Bolivia (Plurinational State of),0.662,68.3,42.413,42.408,6,4,42.592,63.3
120,Kyrgyzstan,0.655,70.6,42.502,42.531,3,29,42.526,42.599
121,Iraq,0.654,69.4,42.379,42.466,14,-44,34.8,483.6
122,Cabo Verde,0.646,73.3,42.503,42.555,6,-1,0.5,42.372
123,Micronesia (Federated States of),0.64,69.1,42.562,42.56,3,21,0.1,0.3
124,Guyana,0.636,66.4,42.439,42.498,7,-4,0.8,42.374
125,Nicaragua,0.631,74.9,42.501,6,4,12,42.406,42.456
126,Morocco,0.628,74,42.532,42.464,7,-8,33.5,233.9
126,Namibia,0.628,64.8,42.44,42.406,9,-21,42.431,42.481
128,Guatemala,0.627,71.8,42.561,42.526,7,-11,42.628,109.2
129,Tajikistan,0.624,69.4,42.411,42.47,3,27,42.468,20
130,India,0.609,68,42.562,42.465,5,-4,1267.4,6558.7
131,Honduras,0.606,73.1,42.38,42.495,4,7,42.437,36
132,Bhutan,0.605,69.5,42.533,3,7,-17,0.8,42.465
133,Timor-Leste,0.595,68.2,42.562,42.464,5,-6,42.401,42.431
134,Syrian Arab Republic,0.594,69.6,42.441,42.435,3,21,22,
134,Vanuatu,0.594,71.9,42.531,42.588,3,19,0.3,0.7
136,Congo,0.591,62.3,42.38,42.375,6,-14,42.525,42.454
137,Kiribati,0.59,66,42.441,42.589,2,21,0.1,0.2
