rank	pais	valor	renda_per_capita	pib	bigmac
1	Norway	0.944	64992	317.5	11795
2	Australia	0.935	42261	990.7	9828
3	Switzerland	0.93	56431	442.0	8563
4	Denmark	0.923	44025	235.7	9916
5	Netherlands	0.922	45435	755.3	11957
6	Germany	0.916	43919	3483.4	10532
6	Ireland	0.916	39568	206.5	8993
8	United States	0.915	52947	16230.2	10505
9	Canada	0.913	42155	1472.9	9164
9	New Zealand	0.913	32689	146.7	7746
11	Singapore	0.912	76628	411.6	19109
12	Hong Kong, China (SAR)	0.91	53959	370.2	19350
14	Sweden	0.907	45636	419.6	8726
18	Israel	0.894	30676	249.3	7004
20	Japan	0.891	36927	4535.1	10642
21	Belgium	0.89	41187	454.6	9468
22	France	0.888	38056	2453.3	8438
23	Austria	0.885	43869	376.0	11078
24	Finland	0.883	38695	211.3	7647
26	Spain	0.876	32045	1473.9	8323
27	Italy	0.873	33030	2044.3	7149
28	Czech Republic	0.87	26660	294.2	8712
29	Greece	0.865	24524	270.7	6646
30	Estonia	0.861	25214	33.3	7394
36	Poland	0.843	23177	881.5	9577
39	Saudi Arabia	0.837	52821	1501.1	16507
40	Argentina	0.836	22050	0.0	6582
42	Chile	0.832	21290	382.6	6031
43	Portugal	0.83	25757	267.7	7666
44	Hungary	0.828	22916	226.8	7275
52	Uruguay	0.793	19283	64.6	4726
62	Malaysia	0.779	22762	671.3	11438
69	Costa Rica	0.766	13413	65.4	3256
72	Turkey	0.761	18677	1398.3	5291
73	Sri Lanka	0.757	9779	193.1	2694
74	Mexico	0.756	16056	1992.9	6775
75	Brazil	0.755	15175	2916.3	3175
81	Ukraine	0.747	8178	387.0	5209
84	Peru	0.734	11015	346.2	3647
90	China	0.727	12547	15643.2	4497
93	Thailand	0.726	13323	933.6	3919
97	Colombia	0.72	12040	581.1	3961
108	Egypt	0.69	10512	880.8	4059
110	Indonesia	0.684	9788	2312.4	4147
115	Philippines	0.668	7915	622.5	2807
116	South Africa	0.666	12122	641.4	5772
130	India	0.609	5497	6558.7	2281
147	Pakistan	0.538	4866	811.3	1359
